iter	Passed	Remaining
0	17	3454
1	36	3657
2	52	3420
3	72	3537
4	92	3608
5	101	3296
6	121	3355
7	139	3349
8	163	3467
9	182	3469
10	202	3481
11	223	3506
12	244	3515
13	263	3499
14	286	3528
15	290	3346
16	310	3341
17	332	3359
18	351	3347
19	374	3374
20	397	3387
21	415	3363
22	435	3353
23	450	3304
24	470	3294
25	489	3276
26	515	3305
27	536	3292
28	554	3272
29	575	3261
30	593	3236
31	614	3225
32	633	3206
33	656	3205
34	676	3188
35	685	3120
36	706	3111
37	727	3099
38	748	3088
39	767	3069
40	789	3060
41	810	3047
42	826	3018
43	848	3007
44	867	2988
45	890	2979
46	910	2963
47	929	2944
48	949	2927
49	972	2916
50	992	2898
51	1012	2881
52	1018	2824
53	1036	2803
54	1058	2791
55	1078	2772
56	1101	2762
57	1121	2745
58	1142	2730
59	1162	2713
60	1182	2694
61	1202	2676
62	1222	2658
63	1243	2642
64	1264	2625
65	1283	2605
66	1304	2589
67	1324	2571
68	1345	2553
69	1368	2541
70	1388	2522
71	1409	2505
72	1429	2486
73	1450	2469
74	1469	2449
75	1491	2433
76	1512	2415
77	1531	2395
78	1553	2379
79	1573	2359
80	1594	2342
81	1613	2322
82	1637	2308
83	1657	2289
84	1679	2271
85	1697	2250
86	1718	2232
87	1738	2212
88	1762	2197
89	1782	2178
90	1803	2159
91	1821	2138
92	1843	2120
93	1862	2100
94	1886	2085
95	1906	2065
96	1927	2046
97	1947	2026
98	1968	2008
99	1988	1988
100	2012	1972
101	2031	1951
102	2052	1933
103	2073	1914
104	2094	1895
105	2114	1875
106	2137	1858
107	2156	1837
108	2177	1818
109	2196	1797
110	2217	1778
111	2237	1758
112	2260	1740
113	2282	1721
114	2301	1701
115	2323	1682
116	2342	1661
117	2364	1642
118	2384	1623
119	2405	1603
120	2425	1583
121	2446	1564
122	2465	1543
123	2489	1525
124	2507	1504
125	2528	1485
126	2553	1467
127	2572	1447
128	2592	1427
129	2612	1406
130	2636	1388
131	2655	1368
132	2678	1349
133	2699	1329
134	2718	1309
135	2739	1289
136	2759	1268
137	2781	1249
138	2801	1229
139	2822	1209
140	2841	1189
141	2863	1169
142	2883	1149
143	2907	1130
144	2926	1110
145	2947	1090
146	2965	1069
147	2986	1049
148	3006	1028
149	3029	1009
150	3048	989
151	3069	969
152	3088	948
153	3110	929
154	3130	908
155	3154	889
156	3174	869
157	3194	849
158	3213	828
159	3234	808
160	3254	788
161	3272	767
162	3295	748
163	3315	727
164	3336	707
165	3355	687
166	3377	667
167	3396	647
168	3415	626
169	3437	606
170	3456	586
171	3478	566
172	3498	545
173	3521	526
174	3540	505
175	3561	485
176	3581	465
177	3603	445
178	3622	425
179	3645	405
180	3665	384
181	3685	364
182	3705	344
183	3727	324
184	3746	303
185	3769	283
186	3789	263
187	3810	243
188	3829	222
189	3851	202
190	3871	182
191	3893	162
192	3913	141
193	3934	121
194	3954	101
195	3975	81
196	3998	60
197	4018	40
198	4038	20
199	4057	0
