iter	MultiClass
0	1.503458516
1	1.445483829
2	1.384837038
3	1.328760875
4	1.297381859
5	1.276909661
6	1.237838555
7	1.211142891
8	1.173253939
9	1.149190485
10	1.119881072
11	1.102850885
12	1.080235012
13	1.048163402
14	1.037030033
15	1.037010534
16	1.007865489
17	0.9867318195
18	0.9663864671
19	0.9510714471
20	0.9403548086
21	0.9222488961
22	0.9151176827
23	0.9114791794
24	0.9037539101
25	0.8956290038
26	0.8853411075
27	0.8689936606
28	0.8572867466
29	0.8496207757
30	0.8458250151
31	0.8368362608
32	0.8270034305
33	0.8235794648
34	0.8150469319
35	0.8149719679
36	0.8060152923
37	0.8003907252
38	0.79305097
39	0.7881555435
40	0.782729108
41	0.774225191
42	0.7739384716
43	0.764873084
44	0.757899224
45	0.7509239887
46	0.7422008664
47	0.7382831188
48	0.7330974524
49	0.7297128536
50	0.7265615468
51	0.7195672985
52	0.7195266712
53	0.7169080624
54	0.7115421357
55	0.7084070535
56	0.7044760246
57	0.6988707137
58	0.695124708
59	0.6921672604
60	0.6898755603
61	0.6848626879
62	0.6817235264
63	0.6793157894
64	0.678092666
65	0.6744071366
66	0.6715831743
67	0.6675123179
68	0.6623252671
69	0.6587783853
70	0.6545140462
71	0.6510728852
72	0.6485367297
73	0.6424765295
74	0.6390394749
75	0.6380169407
76	0.634818878
77	0.6325968492
78	0.6285346022
79	0.6223709318
80	0.6176920114
81	0.6135799322
82	0.6096386376
83	0.60687241
84	0.600824261
85	0.5980136553
86	0.5950875786
87	0.5927753359
88	0.5905867952
89	0.5884669352
90	0.5843901065
91	0.5828221719
92	0.5790958846
93	0.5753568957
94	0.5731662115
95	0.5718636916
96	0.5681919707
97	0.5642641167
98	0.5628951984
99	0.5597427805
100	0.5583951775
101	0.5563108786
102	0.5548344634
103	0.5527026614
104	0.5514631601
105	0.5499495397
106	0.5481926682
107	0.5465110707
108	0.5449729471
109	0.5420118124
110	0.5405861415
111	0.5380724277
112	0.537061988
113	0.5356544768
114	0.5345801003
115	0.532234414
116	0.5302931363
117	0.5288574979
118	0.5279847932
119	0.526498628
120	0.5249734641
121	0.5238686504
122	0.5211610625
123	0.5198744077
124	0.5186527342
125	0.5173628598
126	0.51636783
127	0.5156077712
128	0.5150472224
129	0.5146669708
130	0.5141062598
131	0.5123618014
132	0.5110170725
133	0.5101682449
134	0.5091294465
135	0.5068042144
136	0.5060055034
137	0.5036714883
138	0.5022608876
139	0.5010276724
140	0.5005630286
141	0.4995011002
142	0.4984988873
143	0.4971440537
144	0.4951830396
145	0.4944073463
146	0.4941588976
147	0.4934828639
148	0.4917279825
149	0.490894779
150	0.4900640015
151	0.4889926727
152	0.4872235255
153	0.4866724016
154	0.485617413
155	0.4845370155
156	0.4836164542
157	0.4827139238
158	0.4816168662
159	0.4803495089
160	0.4796336495
161	0.4786513909
162	0.4776148927
163	0.4770450017
164	0.4760762718
165	0.4756073818
166	0.4746866673
167	0.4737551187
168	0.4728693677
169	0.4721225786
170	0.4713967655
171	0.4708700455
172	0.4699236558
173	0.4692266425
174	0.4682013374
175	0.4673336664
176	0.4660800475
177	0.4648702084
178	0.4642910559
179	0.4641852349
180	0.4636932616
181	0.4635742252
182	0.4632826079
183	0.4625528633
184	0.4605074798
185	0.4598022048
186	0.4585853851
187	0.4578787549
188	0.4570306876
189	0.4565620599
190	0.4558213737
191	0.4555320705
192	0.4550224856
193	0.4542072397
194	0.4532572053
195	0.4519497283
196	0.45152817
197	0.4509079492
198	0.449971801
199	0.4488811811
